,continent,country,total_population,new_cases,active_cases,critical_cases,recovered_cases,total_cases,cases_per_1M_pop,new_deaths,total_deaths,total_tests,tests_per_1M_pop,stats_date
0,Africa,Saint-Helena,6115.0,,2164.0,,2.0,2166,354211,,,,,2024-11-06T17:00:22+00:00
1,South-America,Falkland-Islands,3539.0,,0.0,,1930.0,1930,545352,,,8632.0,2439107,2024-11-06T17:00:22+00:00
2,North-America,Montserrat,4965.0,,19.0,,1376.0,1403,282578,,8.0,17762.0,3577442,2024-11-06T17:00:22+00:00
3,,Diamond-Princess,,,0.0,,699.0,712,,,13.0,,,2024-11-06T17:00:22+00:00
4,Europe,Vatican-City,799.0,,0.0,,29.0,29,36295,,,,,2024-11-06T17:00:22+00:00
5,Africa,Western-Sahara,626161.0,,0.0,,9.0,10,16,,1.0,,,2024-11-06T17:00:22+00:00
6,,MS-Zaandam,,,0.0,,7.0,9,,,2.0,,,2024-11-06T17:00:22+00:00
7,Asia,China,1448471400.0,,118977.0,,379053.0,503302,347,,5272.0,160000000.0,110461,2024-11-06T17:00:22+00:00
8,Oceania,Wallis-and-Futuna,10982.0,,3104.0,,438.0,3550,323256,,8.0,20508.0,1867419,2024-11-06T17:00:22+00:00
9,Oceania,Tokelau,1378.0,,80.0,,,80,58055,,,,,2024-11-06T17:00:22+00:00
10,North-America,Saint-Pierre-Miquelon,5759.0,,1001.0,,2449.0,3452,599410,,2.0,25400.0,4410488,2024-11-06T17:00:22+00:00
11,Oceania,Tuvalu,12066.0,,,,,2943,243909,,1.0,,,2024-11-06T17:00:22+00:00
12,Oceania,Niue,1622.0,,3.0,,1056.0,1059,652898,,,,,2024-11-06T17:00:22+00:00
13,Oceania,Nauru,10903.0,,45.0,,5347.0,5393,494635,,1.0,20509.0,1881042,2024-11-06T17:00:21+00:00
14,Africa,Chad,17413580.0,,2633.0,,4874.0,7701,442,,194.0,191341.0,10988,2024-11-06T17:00:21+00:00
15,North-America,St-Barth,9945.0,,,,,5507,553746,,6.0,78646.0,7908095,2024-11-06T17:00:21+00:00
16,North-America,Saint-Kitts-and-Nevis,53871.0,,0.0,,6559.0,6607,122645,,48.0,126958.0,2356704,2024-11-06T17:00:21+00:00
17,Oceania,Kiribati,123419.0,,2358.0,3.0,2703.0,5085,41201,,24.0,,,2024-11-06T17:00:21+00:00
18,Africa,Sierra-Leone,8306436.0,,,,,7779,937,,126.0,259958.0,31296,2024-11-06T17:00:21+00:00
19,North-America,British-Virgin-Islands,30596.0,,,,,7392,241600,,64.0,107339.0,3508269,2024-11-06T17:00:21+00:00
20,Oceania,Cook-Islands,17571.0,,51.0,,7150.0,7203,409937,,2.0,19690.0,1120596,2024-11-06T17:00:21+00:00
21,Africa,Sao-Tome-and-Principe,227679.0,,13.0,,6685.0,6778,29770,,80.0,29600.0,130008,2024-11-06T17:00:21+00:00
22,North-America,Turks-and-Caicos,39741.0,,3.0,4.0,6709.0,6752,169900,,40.0,616788.0,15520193,2024-11-06T17:00:21+00:00
23,Oceania,Palau,18233.0,,4.0,,6276.0,6290,344979,,10.0,71434.0,3917841,2024-11-06T17:00:21+00:00
24,North-America,Anguilla,15230.0,,,,,3904,256336,,12.0,51382.0,3373736,2024-11-06T17:00:21+00:00
25,North-America,Greenland,56973.0,,9189.0,4.0,2761.0,11971,210117,,21.0,164926.0,2894810,2024-11-06T17:00:20+00:00
26,Africa,Eritrea,3662244.0,,0.0,,10086.0,10189,2782,,103.0,23693.0,6470,2024-11-06T17:00:20+00:00
27,Africa,Niger,26083660.0,,729.0,1.0,8890.0,9931,381,,312.0,254538.0,9759,2024-11-06T17:00:20+00:00
28,Africa,Liberia,5305117.0,,12.0,2.0,7783.0,8090,1525,,295.0,139824.0,26356,2024-11-06T17:00:20+00:00
29,North-America,Caribbean-Netherlands,26647.0,+3,1168.0,,10476.0,11682,438398,,38.0,30126.0,1130559,2024-11-06T17:00:20+00:00
30,Africa,Comoros,907419.0,,9.0,,8939.0,9109,10038,,161.0,,,2024-11-06T17:00:20+00:00
31,Africa,Guinea-Bissau,2063367.0,,508.0,6.0,8929.0,9614,4659,,177.0,145231.0,70385,2024-11-06T17:00:20+00:00
32,Oceania,Vanuatu,321832.0,,29.0,,11976.0,12019,37346,,14.0,24976.0,77606,2024-11-06T17:00:20+00:00
33,North-America,Sint-Maarten,43966.0,,54.0,,10905.0,11051,251353,,92.0,62056.0,1411454,2024-11-06T17:00:20+00:00
34,North-America,Saint-Martin,39730.0,,,,,12324,310194,,63.0,112382.0,2828643,2024-11-06T17:00:20+00:00
35,Asia,Yemen,31154867.0,,662.0,,9124.0,11945,383,,2159.0,329592.0,10579,2024-11-06T17:00:20+00:00
36,North-America,St-Vincent-Grenadines,111551.0,,57.0,,9493.0,9674,86723,,124.0,114197.0,1023720,2024-11-06T17:00:20+00:00
